기준일,브랜드,매장명,폐기유형,폐기사유,중분류명,품목코드,품목명,폐기수량,단가,폐기금액
2026-09-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,1,3800,3800
2026-09-02,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,7,3800,26600
2026-09-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,4,3800,15200
2026-09-02,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,3,3800,11400
2026-09-02,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,4,3800,15200
2026-09-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,1,4200,4200
2026-09-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,2,5200,10400
2026-09-02,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,5,5200,26000
2026-09-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),시그니처샌드,102272,땅콩크림샌드,4,5800,23200
2026-09-02,밀도,밀도 성수점,폐기,유통기한초과(폐기),시그니처샌드,102272,땅콩크림샌드,1,5800,5800
2026-09-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103027,블루베리잼 잠봉뵈르,1,8900,8900
2026-09-03,밀도,밀도 성수점,폐기,유통기한초과(폐기),식빵,102966,달밤식빵,1,8900,8900
2026-09-03,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103663,밤완두바브카,1,7200,7200
2026-09-03,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103764,누텔라바브카,3,7800,23400
2026-09-03,밀도,밀도 성수점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,5,4200,21000
2026-09-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),소금빵,102778,앙버터소금빵,4,4800,19200
2026-09-03,밀도,밀도 성수점,폐기,유통기한초과(폐기),소금빵,102778,앙버터소금빵,2,4800,9600
2026-09-03,밀도,밀도 성수점,폐기,유통기한초과(폐기),소금빵,102844,the부드러운소금빵,1,3600,3600
2026-09-02,밀도,밀도 한티점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,6,4200,25200
2026-09-03,밀도,밀도 한티점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,3,4200,12600
2026-09-03,밀도,밀도 한티점,폐기,유통기한초과(폐기),간식빵,103882,저당 쫀득 단팥빵,1,4200,4200
2026-09-02,밀도,밀도 한티점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,1,7900,7900
2026-09-02,밀도,밀도 한티점,폐기,유통기한초과(폐기),식빵,102684,튼튼고양식빵,1,6900,6900
2026-09-02,밀도,밀도 한티점,폐기,유통기한초과(폐기),식빵,102966,달밤식빵,1,8900,8900
2026-09-02,밀도,밀도 한티점,폐기,유통기한초과(폐기),식빵,103814,얼룩 고양 식빵,1,7500,7500
2026-09-02,밀도,밀도 한티점,폐기,유통기한초과(폐기),미니식빵,103663,밤완두바브카,1,7200,7200
2026-09-03,밀도,밀도 한티점,폐기,유통기한초과(폐기),미니식빵,103764,누텔라바브카,1,7800,7800
2026-09-03,밀도,밀도 한티점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,1,6900,6900
2026-09-02,밀도,밀도 한티점,폐기,유통기한초과(폐기),모닝롤,103773,모닝롤(6ea),1,5200,5200
2026-09-02,밀도,밀도 옥수점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,1,5200,5200
2026-09-01,밀도,밀도 옥수점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,3,3800,11400
2026-09-02,밀도,밀도 옥수점,폐기,유통기한초과(폐기),식빵,102684,튼튼고양식빵,1,6900,6900
2026-09-01,밀도,밀도 옥수점,폐기,유통기한초과(폐기),식빵,102966,달밤식빵,1,8900,8900
2026-09-03,밀도,밀도 옥수점,폐기,유통기한초과(폐기),스콘,101119,레몬스콘,1,3800,3800
2026-09-02,밀도,밀도 옥수점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,2,4200,8400
2026-09-03,밀도,밀도 옥수점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,1,4200,4200
2026-09-01,밀도,밀도 옥수점,폐기,유통기한초과(폐기),소금빵,102844,the부드러운소금빵,1,3600,3600
2026-09-02,밀도,밀도 광장점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,1,3800,3800
2026-09-02,밀도,밀도 광장점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,4,3800,15200
2026-09-02,밀도,밀도 광장점,폐기,유통기한초과(폐기),간식빵,103882,저당 쫀득 단팥빵,3,4200,12600
2026-09-03,밀도,밀도 광장점,폐기,유통기한초과(폐기),간식빵,103882,저당 쫀득 단팥빵,1,4200,4200
2026-09-01,밀도,밀도 광장점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,2,7900,15800
2026-09-02,밀도,밀도 광장점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,3,7900,23700
2026-09-03,밀도,밀도 광장점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,1,7900,7900
2026-09-03,밀도,밀도 광장점,폐기,유통기한초과(폐기),식빵,102966,달밤식빵,1,8900,8900
2026-09-01,밀도,밀도 광장점,폐기,유통기한초과(폐기),미니식빵,103663,밤완두바브카,2,7200,14400
2026-09-02,밀도,밀도 광장점,폐기,유통기한초과(폐기),미니식빵,103663,밤완두바브카,2,7200,14400
2026-09-02,밀도,밀도 광장점,폐기,유통기한초과(폐기),모닝롤,103773,모닝롤(6ea),3,5200,15600
2026-09-01,밀도,밀도 알토점,폐기,유통기한초과(폐기),간식빵,100010,큐브커스터드,1,4700,4700
2026-09-02,밀도,밀도 알토점,폐기,유통기한초과(폐기),간식빵,100010,큐브커스터드,1,4700,4700
2026-09-03,밀도,밀도 알토점,폐기,유통기한초과(폐기),간식빵,100010,큐브커스터드,2,4700,9400
2026-09-03,밀도,밀도 알토점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,2,3800,7600
2026-09-01,밀도,밀도 알토점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,1,3800,3800
2026-09-01,밀도,밀도 알토점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,5,5200,26000
2026-09-03,밀도,밀도 알토점,폐기,유통기한초과(폐기),간식빵,101957,초코허니러스크,1,5800,5800
2026-09-01,밀도,밀도 알토점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,1,4200,4200
2026-09-01,밀도,밀도 알토점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,2,5200,10400
2026-09-02,밀도,밀도 알토점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,1,5200,5200
2026-09-03,밀도,밀도 알토점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,1,5200,5200
2026-09-03,밀도,밀도 알토점,폐기,유통기한초과(폐기),쿠키 브라우니,103459,샤브레쿠키(2ea),1,2000,2000
2026-09-02,밀도,밀도 알토점,폐기,유통기한초과(폐기),식빵,102684,튼튼고양식빵,4,6900,27600
2026-09-03,밀도,밀도 알토점,폐기,유통기한초과(폐기),식빵,102684,튼튼고양식빵,5,6900,34500
2026-09-02,밀도,밀도 알토점,폐기,유통기한초과(폐기),식빵,103814,얼룩 고양 식빵,6,7500,45000
2026-09-03,밀도,밀도 알토점,폐기,유통기한초과(폐기),식빵,103814,얼룩 고양 식빵,1,7500,7500
2026-09-01,밀도,밀도 알토점,폐기,유통기한초과(폐기),스콘,101119,레몬스콘,2,3800,7600
2026-09-02,밀도,밀도 알토점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,2,4200,8400
2026-09-01,밀도,밀도 알토점,폐기,유통기한초과(폐기),소금빵,102778,앙버터소금빵,3,4800,14400
2026-09-02,밀도,밀도 알토점,폐기,유통기한초과(폐기),소금빵,102778,앙버터소금빵,4,4800,19200
2026-09-02,밀도,밀도 알토점,폐기,유통기한초과(폐기),소금빵,102844,the부드러운소금빵,4,3600,14400
2026-09-03,밀도,밀도 알토점,폐기,유통기한초과(폐기),소금빵,102844,the부드러운소금빵,6,3600,21600
2026-09-03,밀도,밀도 광교점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,4,3800,15200
2026-09-01,밀도,밀도 광교점,폐기,유통기한초과(폐기),페이스트리,103768,애플시나몬크림치즈데니쉬,2,4900,9800
2026-09-03,밀도,밀도 광교점,폐기,유통기한초과(폐기),페이스트리,103768,애플시나몬크림치즈데니쉬,1,4900,4900
2026-09-01,밀도,밀도 광교점,폐기,유통기한초과(폐기),페이스트리,103769,고창고구마데니쉬,1,4600,4600
2026-09-03,밀도,밀도 광교점,폐기,유통기한초과(폐기),페이스트리,103769,고창고구마데니쉬,1,4600,4600
2026-09-01,밀도,밀도 광교점,폐기,유통기한초과(폐기),파운드,102607,레몬파운드,4,5600,22400
2026-09-02,밀도,밀도 광교점,폐기,유통기한초과(폐기),파운드,103040,무화과휘낭시에,4,3200,12800
2026-09-02,밀도,밀도 광교점,폐기,유통기한초과(폐기),파운드,103833,아몬드초코휘낭시에리뉴얼,2,3200,6400
2026-09-01,밀도,밀도 광교점,폐기,유통기한초과(폐기),파운드,103834,피스타치오휘낭시에리뉴얼,2,3200,6400
2026-09-02,밀도,밀도 광교점,폐기,유통기한초과(폐기),파운드,103834,피스타치오휘낭시에리뉴얼,1,3200,3200
