기준일,브랜드,매장명,폐기유형,폐기사유,중분류명,품목코드,품목명,폐기수량,단가,폐기금액
2026-07-29,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101957,초코허니러스크,1,5800,5800
2026-07-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,2,6200,12400
2026-07-02,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,2,6200,12400
2026-07-03,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,2,6200,12400
2026-07-04,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,5,6200,31000
2026-07-06,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,2,6200,12400
2026-07-07,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,1,6200,6200
2026-07-09,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,1,6200,6200
2026-07-11,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,6,6200,37200
2026-07-21,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,2,6200,12400
2026-07-22,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,1,6200,6200
2026-07-23,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,3,6200,18600
2026-07-24,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,1,6200,6200
2026-07-27,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,1,6200,6200
2026-07-28,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,1,6200,6200
2026-07-29,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,1,6200,6200
2026-07-30,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,2,6200,12400
2026-07-31,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,2,6200,12400
2026-07-05,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,1,4200,4200
2026-07-11,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,2,4200,8400
2026-07-13,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,1,4200,4200
2026-07-19,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,1,4200,4200
2026-07-20,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,2,4200,8400
2026-07-22,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,3,4200,12600
2026-07-26,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,1,4200,4200
2026-07-28,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,1,4200,4200
