기준일,브랜드,매장명,폐기유형,폐기사유,중분류명,품목코드,품목명,폐기수량,단가,폐기금액
2026-07-01,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,4,5500,22000
2026-07-01,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),건강빵,103575,단호박고구마통밀(whole),3,5500,16500
2026-07-01,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),소금빵,102778,앙버터소금빵,2,4800,9600
2026-07-01,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,2,3800,7600
2026-07-01,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,4,4700,18800
2026-07-01,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,9,3800,34200
2026-07-01,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),간식빵,101957,초코허니러스크,4,5200,20800
2026-07-01,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,7,6200,43400
2026-07-01,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,5,5200,26000
2026-07-01,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,2,5200,10400
2026-07-01,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),디저트,103569,상하초콜릿푸딩,1,5500,5500
2026-07-01,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),디저트,103616,수제국산생크림롤케이크,1,6200,6200
2026-07-01,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),시그니처샌드,102272,땅콩크림샌드,1,5800,5800
2026-07-01,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),건강빵,103571,올리브치즈치아바타,1,5200,5200
2026-07-01,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),건강빵,103622,마르게리따포카치아,1,5500,5500
2026-07-02,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,2,6200,12400
2026-07-02,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103027,블루베리잼 잠봉뵈르,2,8900,17800
2026-07-02,밀도,밀도 성수점,폐기,유통기한초과(폐기),샌드위치,103286,에그마요 소금빵,1,5200,5200
2026-07-02,밀도,밀도 성수점,폐기,유통기한초과(폐기),소금빵,102778,앙버터소금빵,1,4800,4800
2026-07-02,밀도,밀도 성수점,폐기,유통기한초과(폐기),소금빵,102844,the부드러운소금빵,2,3600,7200
2026-07-02,밀도,밀도 정자점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,2,3800,7600
2026-07-02,밀도,밀도 정자점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,1,4700,4700
2026-07-02,밀도,밀도 정자점,폐기,유통기한초과(폐기),시그니처샌드,102272,땅콩크림샌드,4,5800,23200
2026-07-02,밀도,밀도 정자점,폐기,유통기한초과(폐기),미니식빵,103827,촉촉연유브래드,1,6900,6900
2026-07-02,밀도,밀도 정자점,폐기,유통기한초과(폐기),스콘,101119,레몬스콘,3,3800,11400
2026-07-02,밀도,밀도 한티점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,2,6200,12400
2026-07-02,밀도,밀도 한티점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,1,5200,5200
2026-07-02,밀도,밀도 옥수점,폐기,유통기한초과(폐기),식빵,103814,얼룩 고양 식빵,10,7500,75000
2026-07-02,밀도,밀도 옥수점,폐기,유통기한초과(폐기),소금빵,102778,앙버터소금빵,4,4800,19200
2026-07-02,밀도,밀도 광장점,폐기,유통기한초과(폐기),샌드위치,103806,바질치폴레닭가슴살샌드위치,1,8900,8900
2026-07-02,밀도,밀도 광장점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,1,7900,7900
2026-07-02,밀도,밀도 광장점,폐기,유통기한초과(폐기),식빵,103814,얼룩 고양 식빵,1,7500,7500
2026-07-02,밀도,밀도 광장점,폐기,유통기한초과(폐기),모닝롤,103773,모닝롤(6ea),4,5200,20800
2026-07-02,밀도,밀도 광장점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,2,4200,8400
2026-07-02,밀도,밀도 알토점,폐기,파손(폐기),샌드위치,103286,에그마요 소금빵,1,5200,5200
2026-07-02,밀도,밀도 알토점,폐기,파손(폐기),식빵,102338,통팥앙식빵,1,3900,3900
2026-07-02,밀도,밀도 알토점,폐기,파손(폐기),미니식빵,103827,촉촉연유브래드,1,6900,6900
2026-07-02,밀도,밀도 알토점,폐기,유통기한초과(폐기),간식빵,100010,큐브커스터드,1,4700,4700
2026-07-02,밀도,밀도 광교점,폐기,유통기한초과(폐기),페이스트리,103768,애플시나몬크림치즈데니쉬,1,4900,4900
2026-07-02,밀도,밀도 광교점,폐기,유통기한초과(폐기),페이스트리,103769,고창고구마데니쉬,2,4600,9200
2026-07-02,밀도,밀도 광교점,폐기,유통기한초과(폐기),파운드,102608,바나나파운드(23년),1,5600,5600
2026-07-02,밀도,밀도 광교점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,1,4200,4200
2026-07-02,밀도,밀도 강남점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,2,5200,10400
2026-07-02,밀도,밀도 강남점,폐기,유통기한초과(폐기),식빵,102966,달밤식빵,2,8900,17800
2026-07-02,밀도,밀도 고양점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,1,3800,3800
2026-07-02,밀도,밀도 고양점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,5,3800,19000
2026-07-02,밀도,밀도 고양점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,4,5200,20800
2026-07-02,밀도,밀도 고양점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,1,5200,5200
2026-07-02,밀도,밀도 고양점,폐기,유통기한초과(폐기),샌드위치,103027,블루베리잼 잠봉뵈르,4,8900,35600
